exp_id,scheduler,cpu,io,nice,mem_load,Average_TAT,Average_RT,Total_Experiment_Duration,CV_Fairness,T_run_queue,T_nvcsw_rate,T_vcsw_rate,T_cpu_percent,T_io_read_rate,T_io_write_rate,T_swap_rate
EXP_00_1150,CFS,1,0,0,0,0.14148378378378484,0.00019759459459808913,2.0347289999999703,0.37550544195884444,0.6669921875,18406.676904645654,5172.134221555637,62.92857142857143,2847624256147.512,39126600191.158195,0.0
EXP_01_2823,CFS,1,0,0,12,0.7354425033557059,0.0004992550335558789,7.835184999999967,0.716882028272386,1.5782645089285714,16183.43824905229,173.8611133233634,88.92857142857143,1505520337034.3462,60546230888.23537,82340881.3897998
EXP_02_2357,CFS,1,8,0,0,0.449272659090906,0.0009702195121856609,2.0408459999999877,0.9937386819404767,2.479213169642857,159505.8483660272,11599.990423770925,65.77142857142857,3428662676214.568,3616723579192.8022,383583301906.7106
EXP_03_8705,CFS,1,8,0,12,0.9914953089430883,0.0004869344262301713,7.703745000000026,0.6735799704643007,3.12109375,791.1129507372419,596.9622206863369,86.66428571428571,182634092699.6037,193707397755.32492,21615759392.49871
EXP_04_1963,CFS,2,0,0,0,0.17720292857142977,0.00020478571428433106,2.0198910000000296,0.31751462263300867,3.05126953125,91632.47184099826,21506.19587210514,69.9,7944946349790.429,6308420601410.921,1188242653898.636
EXP_05_2927,CFS,2,0,0,12,0.7780719251700677,0.0003843493150683359,7.954322999999988,0.6902828603968968,3.0381510416666666,16986.023261526552,-9.785914338982154,88.87333333333332,4749069333067.652,3786507331268.999,734186200209.0629
EXP_06_2300,CFS,2,8,0,0,0.4294337708333309,0.0005290638297866919,2.025923999999975,0.9994755323175069,3.68603515625,123658.21586349283,18230.342871492023,67.17142857142856,11583970328482.314,8343083492130.632,1706130161949.2302
EXP_07_8188,CFS,2,8,0,12,1.079938352000001,0.0009356991869928488,7.7772110000000225,0.7050793019127987,5.090262276785714,32162.997183439922,2395.8972607717546,87.13571428571429,5770822336558.022,4135933184987.7437,857861744201.4219
EXP_00_4500,tickless,1,0,0,0,0.1428440540540498,0.04052188888888858,2.0420500000000175,0.8535175981991874,5.548200334821429,7451.794449952352,1402.8455955188485,69.81428571428572,1041295002175.5399,765944745059.5808,155267810882.3807
EXP_01_8483,tickless,1,0,0,12,0.7792803537414943,0.006247463999996853,7.786473999999998,0.8897666986402916,5.932403564453125,-2.253624236568271,2116.819620046922,85.6375,7528797824138.842,5521646470949.644,1139113004877.6038
